step,datetime,action,watts_on,current_temp_c,ambient_temp_c,current_spot_price_eur_kwh,heating_rate_k_per_step,cooling_coefficient,predicted_next_temp_c,predicted_cost_eur,fcr_revenue_eur,fcr_d_down_price_eur,fcr_d_up_price_eur
0,2025-10-15T16:59:16.494927,ON,450.8,21.125,12.6,0.13657,0.5,0.02,21.454499999999996,0.01707125,0.00043104525,0.003448362,0.004867541
1,2025-10-15T17:14:19.068344,OFF,0.0,21.187000000000012,12.8,0.16988,0.5,0.02,21.01926000000003,0.0,0.0005485718707000001,0.003448362,0.004867541
2,2025-10-15T17:29:21.632339,OFF,0.0,21.0,12.8,0.16988,0.5,0.022296091221506362,20.817172051983675,0.0,0.0,0.003448362,0.004867541
3,2025-10-15T17:44:23.987140,OFF,0.0,20.687000000000012,12.8,0.16988,0.5,0.03,20.450390000000027,0.0,0.0,0.003448362,0.004867541
4,2025-10-15T17:59:27.458535,OFF,0.0,20.437000000000012,12.8,0.16988,0.5,0.03,20.20789000000002,0.0,0.0,0.003448362,0.004867541
5,2025-10-15T18:14:30.139193,OFF,0.0,20.187000000000012,12.3,0.22142,0.5,0.03,19.950390000000027,0.0,0.0,0.003448362,0.004867541
6,2025-10-15T18:29:33.794361,ON,50.0,19.937000000000012,12.3,0.22142,0.5,0.02875789392823328,20.217375964070072,0.0,0.0,0.003448362,0.004867541
7,2025-10-15T18:44:39.160416,OFF,0.0,20.25,12.3,0.22142,0.5322840196289907,0.02875081905946348,20.021430988477277,0.0,6.084426250000001e-05,0.003448362,0.004867541
8,2025-10-15T18:59:42.132100,OFF,0.0,20.25,12.3,0.22142,0.5,0.02378923512965915,20.0608755807192,0.0,0.0,0.003448362,0.004867541
9,2025-10-15T19:14:45.743292,ON,259.9,20.0,12.6,0.21844,0.5181750653969533,0.026190186789864633,20.324367683151934,0.0,0.0,0.003448362,0.004867541
10,2025-10-15T19:29:49.513499,OFF,0.0,20.187000000000012,12.6,0.21844,0.5,0.02616239392616187,19.988505917282225,0.0,0.000316268476475,0.003448362,0.004867541
11,2025-10-15T19:44:51.865414,OFF,0.0,20.187000000000012,12.6,0.21844,0.5,0.022877698165626376,20.01342690401742,0.0,0.0,0.003448362,0.004867541
12,2025-10-15T19:59:55.479337,ON,366.3,19.937000000000012,12.6,0.21844,0.5155042966149398,0.02494969741669808,20.269448366668655,0.0,0.0,0.003448362,0.004867541
13,2025-10-15T20:14:59.277596,ON,441.5,20.062000000000012,12.7,0.15183,0.5,0.02488247018956406,20.378815254464428,0.01390383225,0.00031578375015,0.003448362,0.004867541
14,2025-10-15T20:30:02.243693,OFF,0.0,20.5,12.7,0.15183,0.5321209407557018,0.02488870732168059,20.305868082890868,0.0,0.0005372548378750001,0.003448362,0.004867541
15,2025-10-15T20:45:05.003492,OFF,0.0,20.375,12.7,0.15183,0.5247162557240672,0.02388632095012354,20.191672486707773,0.0,0.0,0.003448362,0.004867541
16,2025-10-15T21:00:09.019170,ON,0.0,20.062000000000012,11.6,0.12094,0.535809470211842,0.025388030607158066,20.38297595521408,0.0,0.0,0.003448362,0.004867541
17,2025-10-15T21:15:12.401330,OFF,0.0,20.25,11.6,0.12094,0.5080566322174253,0.02557616932386543,20.028766135348576,0.0,0.0,0.003448362,0.004867541
18,2025-10-15T21:30:14.943758,OFF,0.0,20.25,12.4,0.12094,0.5,0.023124166772127447,20.06847529083882,0.0,0.0,0.003448362,0.004867541
19,2025-10-15T21:45:18.359979,ON,261.6,19.937000000000012,12.4,0.12094,0.5113769439575994,0.024616617029676532,20.26284150140492,0.0,0.0,0.003448362,0.004867541
20,2025-10-15T22:00:22.338505,ON,443.5,20.125,11.5,0.09703,0.5,0.024729204289421984,20.41171061300372,0.0063457620000000005,0.0002255228748,0.003448362,0.004867541
21,2025-10-15T22:15:25.498595,OFF,0.0,20.5,12.1,0.09703,0.5215783695649459,0.024686831272226567,20.292630617313307,0.0,0.0005396886083750001,0.003448362,0.004867541
22,2025-10-15T22:30:28.056177,OFF,0.0,20.375,12.1,0.09703,0.514087107000487,0.02372850841104003,20.178646592898644,0.0,0.0,0.003448362,0.004867541
23,2025-10-15T22:45:31.478513,ON,10.4,20.062000000000012,12.1,0.09703,0.518558833773932,0.02430055590758667,20.387077807637752,0.0,0.0,0.003448362,0.004867541
24,2025-10-15T23:00:34.634623,OFF,0.0,20.312000000000012,11.4,0.08752,0.5018536131158609,0.024414299377849787,20.094419763944586,0.0,1.26556066e-05,0.003448362,0.004867541
25,2025-10-15T23:15:36.981383,OFF,0.0,20.25,12.1,0.08752,0.5,0.023016000595604526,20.062419595145798,0.0,0.0,0.003448362,0.004867541
26,2025-10-15T23:33:26.260625,ON,0.0,19.937000000000012,12.1,0.08752,0.5094002656085941,0.02419976849128748,20.25674667994241,0.0,0.0,0.003448362,0.004867541
27,2025-10-15T23:48:30.679246,ON,0.0,19.687000000000012,12.1,0.08752,0.5,0.024139204572411616,20.003855854909148,0.0,0.0,0.003448362,0.004867541
28,2025-10-16T00:03:34.265653,ON,443.4,19.875,12.0,0.08725,0.5,0.024122814504490574,20.185032835777122,0.0,0.0,0.003448362,0.004867541
29,2025-10-16T00:18:36.811136,OFF,0.0,20.312000000000012,12.0,0.08725,0.5139714905672873,0.024126004005495614,20.11146465470631,0.0,0.00053956691985,0.003448362,0.004867541
30,2025-10-16T00:34:00.045968,OFF,0.0,20.187000000000012,12.0,0.08725,0.5082446784436911,0.02340067031737657,19.995418712111643,0.0,0.0,0.003448362,0.004867541
31,2025-10-16T00:54:03.498346,ON,0.0,19.875,12.0,0.08725,0.5167486672878431,0.02447774940761545,20.198986390702885,0.0,0.0,0.003448362,0.004867541
32,2025-10-16T01:09:06.890821,ON,181.8,19.562000000000012,11.9,0.08258,0.5,0.02452816193251502,19.874065223273078,0.0,0.0,0.003448362,0.004867541
33,2025-10-16T01:29:11.667538,ON,0.0,19.812000000000012,11.9,0.08258,0.5,0.024512740395759753,20.11805519798878,0.0037532610000000004,0.00015672805290000002,0.003448362,0.004867541
34,2025-10-16T01:46:44.331001,OFF,0.0,20.312000000000012,11.9,0.08258,0.5173124915779803,0.02450627183357596,20.10585324133598,0.0,0.0,0.003448362,0.004867541
35,2025-10-16T02:01:49.625679,OFF,0.0,20.625,11.9,0.08421,0.5,0.019733928812501914,20.452821471110894,0.0,0.0,0.003448362,0.004867541
36,2025-10-16T02:19:30.203309,OFF,0.0,20.375,11.9,0.08421,0.5055017672106312,0.020431833434102608,20.20184021164596,0.0,0.0,0.003448362,0.004867541
37,2025-10-16T02:34:33.710334,ON,380.3,20.0,11.9,0.08421,0.5227598271535693,0.022621035436463658,20.339529440118213,0.0,0.0,0.003448362,0.004867541
38,2025-10-16T02:49:37.897356,ON,453.2,20.125,11.9,0.08421,0.5,0.022675601636758816,20.438493176537634,0.00800626575,0.00032785301715000003,0.003448362,0.004867541
39,2025-10-16T03:04:40.249002,OFF,0.0,20.375,11.7,0.08014,0.5002401276617968,0.022674121406695176,20.178301996796904,0.0,0.0005514923953000001,0.003448362,0.004867541
40,2025-10-16T03:20:11.106612,OFF,0.0,20.187000000000012,11.7,0.08014,0.5,0.02260160440805747,19.99518018338881,0.0,0.0,0.003448362,0.004867541
41,2025-10-16T03:35:14.876057,ON,75.8,19.812000000000012,11.7,0.08014,0.5151444936811459,0.02450760030675947,20.12833883999275,0.0,0.0,0.003448362,0.004867541
42,2025-10-16T03:51:01.257115,ON,461.2,19.875,11.7,0.08014,0.5,0.024543790357739834,20.17435451382545,0.0015186529999999998,6.53464599e-05,0.003448362,0.004867541
43,2025-10-16T04:06:05.060334,ON,457.8,20.25,11.7,0.07597,0.5056513804945243,0.024529406141616503,20.545924957983686,0.008759341,0.00039759613859999997,0.003448362,0.004867541
44,2025-10-16T04:21:08.852453,ON,457.1,20.437000000000012,11.7,0.07597,0.5,0.0245858802831522,20.722193163966097,0.0086947665,0.0003946650309,0.003448362,0.004867541
45,2025-10-16T04:36:12.485168,ON,460.6,20.625,11.7,0.07597,0.5,0.024650547417395377,20.90499386429974,0.00868147175,0.00039406156755,0.003448362,0.004867541
46,2025-10-16T04:54:14.957772,ON,459.6,20.687000000000012,11.7,0.07597,0.5,0.024776378394913846,20.964334687364897,0.0087479455,0.0003970788843,0.003448362,0.004867541
47,2025-10-16T05:09:33.090327,ON,458.0,20.937000000000012,11.8,0.07849,0.5,0.024844262961149888,21.20999796932398,0.009018501,0.0003962167938,0.003448362,0.004867541
48,2025-10-16T05:24:35.498434,OFF,0.0,21.0,11.8,0.07849,0.5,0.02510517719539023,20.769032369802403,0.0,0.0005573334445000001,0.003448362,0.004867541
